# qmag, intensity
1.00000 27.32372
1.19192 34.27359
1.38384 42.67564
1.57576 52.74741
1.76768 64.71769
1.95960 78.82167
2.15152 95.29475
2.34343 114.36498
2.53535 136.24415
2.72727 161.11775
2.91919 189.13401
3.11111 220.39240
3.30303 254.93199
3.49495 292.72025
3.68687 333.64294
3.87879 377.49555
4.07071 423.97715
4.26263 472.68716
4.45455 523.12550
4.64646 574.69669
4.83838 626.71810
5.03030 678.43228
5.22222 729.02345
5.41414 777.63754
5.60606 823.40532
5.79798 865.46767
5.98990 903.00210
6.18182 935.24931
6.37374 961.53868
6.56566 981.31142
6.75758 994.14028
6.94949 999.74496
7.14141 998.00220
7.33333 988.95039
7.52525 972.78808
7.71717 949.86679
7.90909 920.67827
8.10101 885.83699
8.29293 846.05863
8.48485 802.13568
8.67677 754.91133
8.86869 705.25273
9.06061 654.02498
9.25253 602.06672
9.44444 550.16840
9.63636 499.05383
9.82828 449.36564
10.02020 401.65490
10.21212 356.37481
10.40404 313.87856
10.59596 274.42081
10.78788 238.16238
10.97980 205.17763
11.17172 175.46382
11.36364 148.95184
11.55556 125.51768
11.74747 104.99404
11.93939 87.18166
12.13131 71.85986
12.32323 58.79607
12.51515 47.75413
12.70707 38.50121
12.89899 30.81332
13.09091 24.47955
13.28283 19.30496
13.47475 15.11246
13.66667 11.74363
13.85859 9.05879
14.05051 6.93647
14.24242 5.27239
14.43434 3.97812
14.62626 2.97953
14.81818 2.21524
15.01010 1.63490
15.20202 1.19775
15.39394 0.87104
15.58586 0.62880
15.77778 0.45060
15.96970 0.32053
16.16162 0.22633
16.35354 0.15864
16.54545 0.11038
16.73737 0.07624
16.92929 0.05227
17.12121 0.03557
17.31313 0.02403
17.50505 0.01612
17.69697 0.01073
17.88889 0.00709
18.08081 0.00465
18.27273 0.00303
18.46465 0.00196
18.65657 0.00126
18.84848 0.00080
19.04040 0.00051
19.23232 0.00032
19.42424 0.00020
19.61616 0.00012
19.80808 0.00008
20.00000 0.00005
